Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Mínimo,Máximo
40.0000,0.5000,-1.0000,1.5630,5.0721,0.0368,0.0105,19.7572
40.0000,0.6000,-1.0000,0.8946,4.0085,0.0458,0.0030,20.5289
40.0000,0.7000,-1.0000,1.7644,5.6652,0.0659,0.0080,21.8202
40.0000,0.8000,-1.0000,2.4220,6.3931,0.0297,0.0085,22.5321
