Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Mínimo,Máximo
40.0000,-1.0000,0.1000,27.8400,18.3100,23.0000,2.0000,62.0000
40.0000,-1.0000,0.2000,38.0800,29.8113,33.0000,1.0000,115.0000
40.0000,-1.0000,0.3000,71.8000,53.3254,55.0000,1.0000,204.0000
40.0000,-1.0000,0.4000,81.3200,71.4164,48.0000,2.0000,268.0000
