Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Mínimo,Máximo
40.0000,0.5000,0.1000,0.0871,0.0697,0.0809,0.0096,0.2499
40.0000,0.6000,0.2000,0.1056,0.0810,0.0930,0.0145,0.4143
40.0000,0.7000,0.3000,0.1607,0.1612,0.0718,0.0135,0.7535
40.0000,0.8000,0.4000,0.4323,0.4861,0.2630,0.0071,2.2478
