Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Mediana,Mínimo,Máximo
50.0000,0.5000,0.1000,17.9600,15.0000,3.0000,51.0000
50.0000,0.6000,0.2000,25.7200,16.0000,6.0000,75.0000
50.0000,0.7000,0.3000,63.3200,40.0000,14.0000,213.0000
50.0000,0.8000,0.4000,78.9200,56.0000,5.0000,321.0000
