Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Melhor,Pior
0.1000,0.0000,0.0000,0.6320,0.3114,0.5408,1.0000,0.0855
0.2000,0.0000,0.0000,0.9999,0.0001,1.0000,1.0000,0.9994
0.3000,0.0000,0.0000,0.9999,0.0002,0.9999,1.0000,0.9991
0.4000,0.0000,0.0000,0.9998,0.0003,0.9999,1.0000,0.9990
