Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Mínimo,Máximo
0.1000,0.0000,0.0000,0.2281,0.0733,0.1969,0.1552,0.4440
0.2000,0.0000,0.0000,0.2166,0.0484,0.2095,0.1624,0.4080
0.3000,0.0000,0.0000,0.1951,0.0357,0.1828,0.1539,0.3129
0.4000,0.0000,0.0000,0.2013,0.0342,0.1859,0.1717,0.3288
