Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Mediana,Mínimo,Máximo
20.0000,0.5000,0.1000,4.0283,4.2314,2.7025,4.4847
20.0000,0.6000,0.2000,4.2675,4.2698,2.5649,5.3916
20.0000,0.7000,0.3000,3.8833,3.9075,2.7569,5.0081
20.0000,0.8000,0.4000,3.8478,4.0172,2.8245,4.5814
