Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Mediana,Melhor,Pior
20.0000,0.5000,0.1000,1.0000,1.0000,1.0000,1.0000
20.0000,0.6000,0.2000,1.0000,1.0000,1.0000,1.0000
20.0000,0.7000,0.3000,1.0000,1.0000,1.0000,1.0000
20.0000,0.8000,0.4000,1.0000,1.0000,1.0000,1.0000
