Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.1241,0.0502,0.0717,0.1081,0.2114
0.1000,0.1207,0.0436,0.0705,0.0972,0.1963
0.0100,0.1703,0.0544,0.0830,0.1724,0.2879
0.0010,0.2237,0.1073,0.1008,0.1906,0.5241
