Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,11.4800,1.3600,10.0000,11.0000,14.0000
0.1000,11.0800,1.1973,10.0000,11.0000,14.0000
0.0100,13.5600,2.6993,10.0000,12.0000,21.0000
0.0010,22.8000,6.4374,15.0000,22.0000,37.0000
