Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.9467,0.0279,0.8889,0.9630,1.0000
0.1000,0.9526,0.0306,0.8889,0.9630,1.0000
0.0100,0.9304,0.0337,0.8519,0.9259,1.0000
0.0010,0.8726,0.0791,0.6296,0.8889,0.9630
