Taxa de Learning Rate,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,36.7200,10.3789,15.0000,34.0000,62.0000
0.1000,44.1600,12.2888,23.0000,42.0000,69.0000
0.0100,118.9600,31.3949,70.0000,120.0000,182.0000
0.0010,219.2400,74.1562,123.0000,206.0000,440.0000
