Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.5580,0.2627,0.2412,0.5241,1.0509
0.1000,0.5899,0.2965,0.2363,0.5435,1.3157
0.0100,0.5855,0.2980,0.2416,0.5501,1.5235
0.0010,0.5206,0.2542,0.2575,0.3806,1.1424
