Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.7688,0.0058,0.7434,0.7699,0.7788
0.1000,0.7972,0.0120,0.7699,0.7965,0.8230
0.0100,0.7929,0.0090,0.7788,0.7965,0.8142
0.0010,0.7798,0.0133,0.7522,0.7788,0.8053
