Taxa de Learning Rate,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.2312,0.0058,0.2212,0.2301,0.2566
0.1000,0.2028,0.0120,0.1770,0.2035,0.2301
0.0100,0.2071,0.0090,0.1858,0.2035,0.2212
0.0010,0.2202,0.0133,0.1947,0.2212,0.2478
