Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.2179,0.0138,0.1964,0.2143,0.2411
0.1000,0.2161,0.0168,0.1964,0.2143,0.2500
0.0100,0.2111,0.0155,0.1875,0.2054,0.2500
0.0010,0.2204,0.0144,0.1964,0.2143,0.2500
