Alfa,Beta,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,5.0000,8039.4672,131.8766,7674.2465,8073.2243,8185.2229
5.0000,1.0000,9216.9989,368.3766,8615.6424,9135.8190,9999.3389
2.0000,2.0000,8535.7924,181.9626,8244.5917,8500.6035,8957.3720
2.0000,5.0000,7866.4710,135.3505,7663.5852,7870.4449,8197.9052
