Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Mínimo,Máximo
20.000000,0.500000,0.100000,15.323707,5.778244,15.206412,8.145450,35.273323
20.000000,0.600000,0.200000,10.075591,2.042427,9.427962,8.412850,18.295317
20.000000,0.700000,0.300000,11.509307,2.975457,10.390006,9.008167,21.426070
20.000000,0.800000,0.400000,9.663975,1.245127,9.108486,7.467334,12.986125
