Tamanho da População,Taxa de Crossover,Taxa de Mutação,Média,Desvio Padrão,Mediana,Melhor,Pior
20.000000,0.500000,0.100000,0.006800,0.004685,0.005824,0.000075,0.015980
30.000000,0.500000,0.100000,0.005640,0.005253,0.004653,0.000062,0.022209
40.000000,0.500000,0.100000,0.003520,0.003832,0.001714,0.000113,0.015368
50.000000,0.500000,0.100000,0.003194,0.002822,0.002542,0.000724,0.015080
