Num. Partículas,V.Min,V.Máx,Média,Desvio Padrão,Mínimo,Mediana,Máximo
48.0000,-5.0000,5.0000,2.1660,0.5489,1.1073,2.2554,2.9843
48.0000,-2.5000,2.5000,2.0807,0.4563,1.1674,2.0278,2.8536
48.0000,-10.0000,10.0000,1.9596,0.7036,0.7571,1.7992,3.3077
48.0000,-1.0000,1.0000,2.0394,0.5059,1.0904,1.8519,2.8441
