Num. Partículas,V.Min,V.Máx,Média,Desvio Padrão,Mínimo,Mediana,Máximo
48.0000,-5.0000,5.0000,641.6800,75.0204,337.0000,655.0000,745.0000
48.0000,-2.5000,2.5000,636.6800,39.2639,546.0000,636.0000,706.0000
48.0000,-10.0000,10.0000,574.3600,157.7299,264.0000,645.0000,718.0000
48.0000,-1.0000,1.0000,627.6000,48.0250,524.0000,624.0000,744.0000
