Taxa de Learning Rate,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,13.4800,2.4839,11.0000,13.0000,20.0000
0.1000,13.3200,2.6940,10.0000,13.0000,18.0000
0.0100,15.2000,3.3823,12.0000,14.0000,26.0000
0.0010,24.2400,8.4204,10.0000,23.0000,42.0000
