Taxa de Learning Rate,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.0018,0.0089,0.0000,0.0000,0.0455
0.1000,0.0018,0.0089,0.0000,0.0000,0.0455
0.0100,0.0145,0.0279,0.0000,0.0000,0.0909
0.0010,0.0945,0.0760,0.0000,0.0909,0.2727
