Taxa de Aprendizado,Média,Desvio Padrão,Mínimo,Mediana,Máximo
1.0000,0.1742,0.0603,0.0727,0.1799,0.2837
0.1000,0.1558,0.0468,0.0717,0.1614,0.2323
0.0100,0.1456,0.0526,0.0738,0.1582,0.2532
0.0010,0.2344,0.1182,0.1007,0.2013,0.4926
